GAME_DETAILS_ID,GAME_ID,TEAM_ID,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
157,21900901,1610612764,202722,,,30:20,9,14,643,8,10,1,3,3,1,1,3,4,0,0,1,2,2,29,3
158,21900901,1610612764,202397,,,20:36,3,9,333,0,0,0,0,0,0,0,4,4,5,0,1,2,1,6,1
159,21900901,1610612764,1629010,,,21:42,2,5,0,0,2,0,2,2,1,0,3,3,0,0,0,1,3,6,-12
160,21900901,1610612764,1628972,,,16:38,0,4,0,0,1,0,2,2,1,1,4,5,2,1,0,1,2,2,-4
161,21900901,1610612764,1628394,,,10:38,1,1,1,0,0,0,1,2,1,0,1,1,0,0,0,0,2,3,10
163,21900901,1610612764,101133,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,21900901,1610612744,1629308,F,,28:38,1,6,167,0,2,0,0,0,0,2,3,5,5,2,1,3,4,2,-8
165,21900901,1610612744,1627737,F,,30:13,6,8,1,0,0,0,0,0,0,2,11,13,2,0,2,5,3,12,-18
166,21900901,1610612744,1627733,C,,19:15,4,12,333,0,3,0,0,0,0,6,4,10,0,0,0,2,5,8,-6
167,21900901,1610612744,203952,G,,35:22,9,19,474,1,5,0,8,11,727,1,5,6,2,2,2,4,3,27,-31
168,21900901,1610612744,1627814,G,,34:12,4,11,364,2,6,333,0,0,0,0,6,6,2,2,1,1,1,10,-2
169,21900901,1610612744,1629672,,,33:22,7,14,1,1,2,1,2,3,667,5,2,7,6,0,0,2,1,17,-6
170,21900901,1610612744,1628539,,,31:11,6,10,1,3,7,429,2,3,667,0,2,2,1,1,1,0,5,17,5
171,21900901,1610612744,1629673,,,27:47,5,9,556,2,3,667,5,7,714,2,1,3,7,0,0,4,2,17,-4
172,21900901,1610612744,1629065,,DNP - Injury/Illness                    ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,21900901,1610612744,203110,,DND - Injury/Illness                    ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,21900901,1610612744,1626172,,DND - Injury/Illness                    ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,21900887,1610612741,203107,F,,33:54,2,8,0,0,3,0,2,2,1,2,2,4,7,1,0,1,2,6,-10
176,21900887,1610612741,201152,F,,31:35,6,12,1,3,7,429,0,0,0,1,2,3,2,5,0,2,2,15,-17
177,21900887,1610612741,1628976,C,,18:11,1,5,0,0,0,0,4,6,667,2,7,9,2,0,1,0,3,6,-15
178,21900887,1610612741,1627885,G,,13:22,2,2,1,1,1,1,0,0,0,1,0,1,1,1,0,1,2,5,3
179,21900887,1610612741,203897,G,,37:36,10,25,0,4,8,1,2,5,0,0,3,3,7,1,0,1,5,26,-11
180,21900887,1610612741,1629655,,,19:25,5,6,833,0,0,0,2,4,1,2,0,2,0,1,2,1,5,12,11
181,21900887,1610612741,1629632,,,28:36,7,17,412,4,8,1,4,4,1,0,2,2,3,2,0,1,1,22,-20
182,21900887,1610612741,1627853,,,20:08,2,2,1,1,1,1,0,0,0,0,1,1,2,0,0,1,0,5,7
183,21900887,1610612741,1627756,,,10:24,3,8,375,2,5,0,0,0,0,1,2,3,0,0,0,0,0,8,1
184,21900887,1610612741,1629690,,,16:25,2,3,667,2,2,1,2,2,1,1,0,1,1,1,0,0,2,8,7
185,21900887,1610612741,1626245,,,10:24,1,1,1,0,0,0,0,0,0,3,1,4,1,0,0,0,0,2,-6
186,21900887,1610612752,203090,F,,26:49,3,10,0,0,3,0,3,3,1,1,6,7,3,3,1,0,2,9,12
187,21900887,1610612752,203944,F,,31:39,7,15,467,0,2,0,8,8,1,1,9,10,3,1,0,4,1,22,17
188,21900887,1610612752,201959,C,,19:03,5,6,833,0,1,0,7,8,875,4,4,8,2,1,0,1,2,17,12
189,21900887,1610612752,1629628,G,,31:11,8,10,1,3,4,1,0,4,0,0,4,4,3,0,0,3,1,19,19
190,21900887,1610612752,203901,G,,33:20,1,4,0,0,1,0,1,4,0,0,1,1,10,0,0,4,1,3,9
191,21900887,1610612752,1629011,,,28:57,11,16,688,0,0,0,1,3,333,7,3,10,2,1,2,0,3,23,-2
192,21900887,1610612752,1628995,,,21:11,4,9,444,2,3,667,2,2,1,4,2,6,1,0,0,1,0,12,-2
193,21900887,1610612752,1628373,,,16:32,1,2,1,1,1,1,1,1,1,0,2,2,4,0,0,1,4,4,-1
194,21900887,1610612752,201961,,,14:57,2,5,0,2,5,0,0,0,0,0,1,1,0,0,0,1,4,6,-7
195,21900887,1610612752,1626171,,,16:21,5,8,625,0,0,0,0,0,0,0,1,1,1,0,1,1,1,10,-7
196,21900887,1610612752,1628422,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,21900887,1610612752,1629019,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,21900888,1610612757,2772,F,,37:26,3,9,333,1,6,167,3,3,1,0,4,4,2,3,0,3,4,10,-10
199,21900888,1610612757,2546,F,,36:33,5,13,385,1,3,333,1,2,1,3,3,6,2,0,0,4,3,12,-13
200,21900888,1610612757,202355,C,,31:06,9,14,643,0,0,0,3,6,1,5,8,13,1,1,3,1,3,21,-3
201,21900888,1610612757,1629018,G,,29:07,6,12,1,1,4,0,2,2,1,0,0,0,0,0,0,3,4,15,-19
202,21900888,1610612757,203468,G,,38:54,14,26,538,3,9,333,4,6,667,2,3,5,5,2,0,2,3,35,-9
203,21900888,1610612757,1629014,,,15:48,3,8,375,2,3,667,2,2,1,0,1,1,0,0,0,0,2,10,-5
