GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2020-01-30,21900717,Final,1610612738,1610612744,2019,119.0,0.47700000000000004,909,429,27.0,51.0,1610612744,104.0,429,867,308,24.0,30.0,1
2020-01-30,21900718,Final,1610612743,1610612762,2019,106.0,0.47100000000000003,0.81,0.33299999999999996,25.0,43.0,1610612762,100.0,462,647,0.45899999999999996,24.0,35.0,1
2020-01-30,21900719,Final,1610612746,1610612758,2019,103.0,0.38,0.8,419,26.0,39.0,1610612758,124.0,0.5,833,512,27.0,47.0,0
2020-01-29,21900708,Final,1610612754,1610612741,2019,115.0,517,727,259,26.0,46.0,1610612741,106.0,529,667,182,26.0,34.0,1
2020-01-29,21900709,Final,1610612751,1610612765,2019,125.0,506,0.8,385,26.0,37.0,1610612765,115.0,506,0.75,385,25.0,41.0,1
2020-01-29,21900710,Final,1610612752,1610612763,2019,106.0,429,655,321,26.0,46.0,1610612763,127.0,0.5,848,0.46399999999999997,25.0,44.0,0
2020-01-29,21900711,Final,1610612759,1610612762,2019,127.0,561,0.9,258,23.0,35.0,1610612762,120.0,0.44,696,368,18.0,43.0,1
2020-01-29,21900712,Final,1610612757,1610612745,2019,125.0,517,741,361,24.0,50.0,1610612745,112.0,426,833,0.36200000000000004,21.0,39.0,1
2020-01-29,21900713,Final,1610612758,1610612760,2019,100.0,462,636,231,22.0,39.0,1610612760,120.0,0.5,0.85,441,32.0,45.0,0
2020-01-28,21900699,Final,1610612766,1610612752,2019,97.0,386,778,0.25,22.0,51.0,1610612752,92.0,442,636,281,17.0,41.0,1
2020-01-28,21900702,Final,1610612755,1610612744,2019,115.0,512,769,344,28.0,44.0,1610612744,104.0,425,0.7140000000000001,375,29.0,40.0,1
2020-01-28,21900700,Final,1610612739,1610612740,2019,111.0,438,889,324,25.0,46.0,1610612740,125.0,534,0.75,382,29.0,40.0,0
2020-01-28,21900703,Final,1610612761,1610612737,2019,130.0,495,778,302,26.0,52.0,1610612737,114.0,446,0.8,255,28.0,44.0,1
2020-01-28,21900701,Final,1610612748,1610612738,2019,101.0,371,0.8390000000000001,243,15.0,45.0,1610612738,109.0,0.47,0.75,361,24.0,48.0,0
2020-01-28,21900704,Final,1610612763,1610612743,2019,104.0,561,429,333,32.0,41.0,1610612743,96.0,0.3720000000000001,833,378,23.0,44.0,1
2020-01-28,21900705,Final,1610612749,1610612764,2019,151.0,556,914,514,31.0,46.0,1610612764,131.0,468,853,438,28.0,35.0,1
2020-01-28,21900706,Final,1610612742,1610612756,2019,104.0,446,852,212,19.0,33.0,1610612756,133.0,593,905,429,34.0,39.0,0
